Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10863	31/12/2008	AH/855	I	CI/1	1700.000	Broncos  - Job 8753 - Delivery IOA - 75 grams.  	0.1124	0.1265	191.080	Broncos 	S	23.88	I	102

C10864	31/12/2008		I	CI/1	2991.000	Cambridge Property Guide - Job 8881 - Delivery 03 Dec 2008 - 80 grams. Includes folding fee 0.0100 cents. 	0.0956	0.1076	285.940	Cambridge Property Guide	S	35.74	I	106
C10864	31/12/2008		I	CI/2	2991.000	Cambridge Property Guide - Job 8882 - Delivery 10 Dec 2008 - 80 grams. Includes folding fee 0.0100 cents. 	0.0956	0.1076	285.940	Cambridge Property Guide	S	35.74	I	106
C10864	31/12/2008		I	CI/3	2991.000	Cambridge Property Guide - Job 8883 - Delivery 17 Dec 2008 - 80 grams. Includes folding fee 0.0100 cents. 	0.0956	0.1076	285.940	Cambridge Property Guide	S	35.74	I	106
C10864	31/12/2008		I	CI/4	2991.000	Cambridge Property Guide - Job 8884 - Delivery 24 Dec 2008 - 80 grams. Includes folding fee 0.0100 cents. 	0.0956	0.1076	285.940	Cambridge Property Guide	S	35.74	I	106
C10864	31/12/2008		I	CI/5	2991.000	Cambridge Property Guide - Job 8885 - Delivery 31 Dec 2008 - 80 grams. Includes folding fee 0.0100 cents. 	0.0956	0.1076	285.940	Cambridge Property Guide	S	35.74	I	106

C10865	31/12/2008	Gay Hubbard	I	CI/1	6000.000	Hamilton This Week - Job 8895 - Delivery 04 Dec 2008 - 65 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106
C10865	31/12/2008	Gay Hubbard	I	CI/2	6000.000	Hamilton This Week - Job 8896 - Delivery 11 Dec 2008 - 125 grams. Includes folding fee 0.0100 cents. 	0.0959	0.1079	575.400	Hamilton This Week	S	71.93	I	106
C10865	31/12/2008	Gay Hubbard	I	CI/3	6000.000	Hamilton This Week - Job 8897 - Delivery 18 Dec 2008 - 60 grams. Includes folding fee 0.0100 cents. 	0.0858	0.0965	514.800	Hamilton This Week	S	64.35	I	106
C10865	31/12/2008	Gay Hubbard	I	CI/4	6000.000	Hamilton This Week - Job 8898 - Delivery 24 Dec 2008 - 30 grams. Includes folding fee 0.0100 cents. 	0.0852	0.0958	511.200	Hamilton This Week	S	63.90	I	106
C10865	31/12/2008	Gay Hubbard	I	CI/5	6000.000	Hamilton This Week - Job 8899 - Delivery 31 Dec 2008 - 20 grams. Includes folding fee 0.0100 cents. 	0.0852	0.0958	511.200	Hamilton This Week	S	63.90	I	106

C10866	31/12/2008	10429	I	CI/1	2627.000	Rural Advocate - Job 9013 - Delivery 23 Dec 2008 - 175 grams. Includes folding fee 0.0100 cents. 	0.1117	0.1257	293.436	Rural Advocate	S	36.68	I	106

C10867	31/12/2008		I	CI/1	3505.000	Te Puke Times - Job 8888 - Delivery 04 Dec 2008 - 75 grams.  	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106
C10867	31/12/2008		I	CI/2	3505.000	Te Puke Times - Job 8889 - Delivery 10 Dec 2008 - 80 grams.  	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106
C10867	31/12/2008		I	CI/3	3505.000	Te Puke Times - Job 8890 - Delivery 17 Dec 2008 - 70 grams.  	0.0856	0.0963	300.028	Te Puke Times	S	37.50	I	106
