Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10371	30/09/2008	AH/847	I	CI/1	1700	Broncos  - Job 8048 - Delivery IOA - 75 grams	0.105	0.1181	178.5	Broncos 	S	22.31	I	102
C10371	30/09/2008	AH/847	I	FS	178.5	Fuel Surcharge	0.07	0.08	12.5	Broncos 	S	1.56	I	102

C10372	30/09/2008		I	CI/1	2991	Cambridge Property Guide - Job 7858 - Delivery 17 Sep 2008 - 80 grams	0.08	0.09	239.28	Cambridge Property Guide	S	29.91	I	106
C10372	30/09/2008		I	CI/2	2991	Cambridge Property Guide - Job 7859 - Delivery 24 Sep 2008 - 80 grams	0.08	0.09	239.28	Cambridge Property Guide	S	29.91	I	106
C10372	30/09/2008		I	CI/3	2991	Cambridge Property Guide - Job 7856 - Delivery 03 Sep 2008 - 80 grams	0.08	0.09	239.28	Cambridge Property Guide	S	29.91	I	106
C10372	30/09/2008		I	CI/4	2991	Cambridge Property Guide - Job 7857 - Delivery 10 Sep 2008 - 80 grams	0.08	0.09	239.28	Cambridge Property Guide	S	29.91	I	106
C10372	30/09/2008		I	FS	957.12	Fuel Surcharge	0.07	0.08	67	Cambridge Property Guide	S	8.38	I	106

C10373	30/09/2008		I	CI/1	2000	Eastside Community News - Job 7749 - Delivery 19 Sep 2008 - 0 grams	0.0713	0.0802	142.6	Eastside Community News	S	17.83	I	106

C10374	30/09/2008	Gay Hubbard	I	CI/1	6000	Hamilton This Week - Job 7864 - Delivery 04 Sep 2008 - 80 grams	0.0708	0.0797	424.8	Hamilton This Week	S	53.1	I	106
C10374	30/09/2008	Gay Hubbard	I	CI/2	6000	Hamilton This Week - Job 7865 - Delivery 11 Sep 2008 - 80 grams	0.0708	0.0797	424.8	Hamilton This Week	S	53.1	I	106
C10374	30/09/2008	Gay Hubbard	I	CI/3	6000	Hamilton This Week - Job 7866 - Delivery 18 Sep 2008 - 75 grams	0.0708	0.0797	424.8	Hamilton This Week	S	53.1	I	106
C10374	30/09/2008	Gay Hubbard	I	CI/4	6000	Hamilton This Week - Job 7867 - Delivery 25 Sep 2008 - 90 grams	0.0708	0.0797	424.8	Hamilton This Week	S	53.1	I	106
C10374	30/09/2008	Gay Hubbard	I	FS	1699.2	Fuel Surcharge	0.07	0.08	118.94	Hamilton This Week	S	14.87	I	106

C10375	30/09/2008		I	CI/1	2595	Lawrences FLyer - Job 8107 - Delivery 18 Sep 2008 - 25 grams	0.0713	0.0802	185.024	Lawrences FLyer	S	23.13	I	106
C10375	30/09/2008		I	FS	185.024	Fuel Surcharge	0.07	0.08	12.95	Lawrences FLyer	S	1.62	I	106

C10376	30/09/2008	10402	I	CI/1	1512	Rural Advocate - Job 7905 - Delivery 19 Sep 2008 - 171 grams	0.105	0.1181	158.76	Rural Advocate	S	19.85	I	106
C10376	30/09/2008	10402	I	FS	158.76	Fuel Surcharge	0.07	0.08	11.11	Rural Advocate	S	1.39	I	106

C10377	30/09/2008		I	CI/1	3505	Te Puke Times - Job 7860 - Delivery 03 Sep 2008 - 120 grams	0.09	0.1012	315.45	Te Puke Times	S	39.43	I	106
C10377	30/09/2008		I	CI/2	3505	Te Puke Times - Job 7861 - Delivery 10 Sep 2008 - 75 grams	0.08	0.09	280.4	Te Puke Times	S	35.05	I	106
