Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10370	30/09/2008	AH/847	I	CI/1	1700.000	Broncos  - Job 8048 - Delivery IOA - 75 grams.  	0.1050	0.1181	178.500	Broncos 	S	22.31	I	102
C10370	30/09/2008	AH/847	I	FS	178.500	Fuel Surcharge	0.0700	0.0788	12.495	Broncos 	S	1.56	I	102

C10371	30/09/2008		I	CI/1	2991.000	Cambridge Property Guide - Job 7856 - Delivery 03 Sep 2008 - 80 grams.  	0.0800	0.0900	239.280	Cambridge Property Guide	S	29.91	I	106
C10371	30/09/2008		I	CI/2	2991.000	Cambridge Property Guide - Job 7857 - Delivery 10 Sep 2008 - 80 grams.  	0.0800	0.0900	239.280	Cambridge Property Guide	S	29.91	I	106
C10371	30/09/2008		I	CI/3	2991.000	Cambridge Property Guide - Job 7858 - Delivery 17 Sep 2008 - 80 grams.  	0.0800	0.0900	239.280	Cambridge Property Guide	S	29.91	I	106
C10371	30/09/2008		I	CI/4	2991.000	Cambridge Property Guide - Job 7859 - Delivery 24 Sep 2008 - 80 grams.  	0.0800	0.0900	239.280	Cambridge Property Guide	S	29.91	I	106
C10371	30/09/2008		I	FS	957.120	Fuel Surcharge	0.0700	0.0788	66.998	Cambridge Property Guide	S	8.38	I	106

C10372	30/09/2008		I	CI/1	2000.000	Eastside Community News - Job 7749 - Delivery 19 Sep 2008 - 0 grams.  	0.0713	0.0802	142.600	Eastside Community News	S	17.83	I	106

C10373	30/09/2008	Gay Hubbard	I	CI/1	6000.000	Hamilton This Week - Job 7864 - Delivery 04 Sep 2008 - 80 grams. Includes folding fee 0.0100 cents. 	0.0808	0.0909	484.800	Hamilton This Week	S	60.60	I	106
C10373	30/09/2008	Gay Hubbard	I	CI/2	6000.000	Hamilton This Week - Job 7865 - Delivery 11 Sep 2008 - 80 grams. Includes folding fee 0.0100 cents. 	0.0808	0.0909	484.800	Hamilton This Week	S	60.60	I	106
